id,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
0,CBH,Travel Agency,Offline,Comprehensive Plan,No,186,MALAYSIA,-29,9.57,F,81
1,CBH,Travel Agency,Offline,Comprehensive Plan,No,186,MALAYSIA,-29,9.57,F,71
2,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,65,AUSTRALIA,-49.5,29.7,F,32
3,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,60,AUSTRALIA,-39.6,23.76,M,32
4,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,79,ITALY,-19.8,11.88,M,41
5,JZI,Airlines,Online,Value Plan,No,66,UNITED STATES,-121,42.35,F,44
6,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,47,UNITED STATES,-39.6,23.76,M,32
7,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,63,AUSTRALIA,-108.9,65.34,F,29
8,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,57,THAILAND,-19.8,11.88,F,44
9,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,186,AUSTRALIA,-99,59.4,M,37
10,JZI,Airlines,Online,Basic Plan,No,33,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",-26,9.1,F,118
11,JZI,Airlines,Online,Basic Plan,No,1,MALAYSIA,-18,6.3,M,47
12,KML,Travel Agency,Online,Premier Plan,No,53,NORWAY,-130,49.4,F,48
13,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,MALAYSIA,-39.6,23.76,M,64
14,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,VIET NAM,-25,0,M,36
15,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,6,DENMARK,-19.8,11.88,M,53
16,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,48,DENMARK,-79.2,47.52,F,43
17,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,11,UNITED STATES,-29.7,17.82,F,58
18,JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,-18,6.3,M,47
19,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,14,THAILAND,-69.3,41.58,F,37
20,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,136,NORWAY,-108.9,65.34,M,32
21,C2B,Airlines,Online,Bronze Plan,No,12,SINGAPORE,46.15,11.54,F,44
22,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17.55,4.39,F,25
23,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,94,23.5,M,34
24,C2B,Airlines,Online,Silver Plan,No,190,SINGAPORE,294.75,73.69,M,26
25,C2B,Airlines,Online,Annual Silver Plan,No,364,SINGAPORE,389,97.25,F,30
26,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,29,UNITED STATES,9.9,5.94,F,33
27,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28,UNITED STATES,9.9,5.94,F,33
28,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,153,JAPAN,69.3,41.58,M,35
29,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28,UNITED KINGDOM,19.8,11.88,F,31
30,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4,UNITED KINGDOM,29.7,17.82,F,61
31,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,54,AUSTRALIA,0,41.58,M,31
32,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,24,AUSTRALIA,89.1,53.46,F,33
33,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,INDONESIA,25,0,M,36
34,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,MALAYSIA,24,0,M,36
35,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,45,MALAYSIA,20,0,M,36
36,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,35,INDIA,27,0,F,36
37,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,THAILAND,20,0,M,44
38,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,24,CHINA,43,0,F,36
39,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,FRANCE,78,0,F,36
40,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,183,INDONESIA,20,0,M,36
41,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,36,"TAIWAN, PROVINCE OF CHINA",22,0,M,20
42,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,VIET NAM,27,0,F,46
43,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,38,SINGAPORE,41,0,F,36
44,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,36,UNITED STATES,95,0,M,49
45,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,THAILAND,20,0,F,50
46,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,MALAYSIA,20,0,F,36
47,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,THAILAND,35,0,F,36
48,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,PHILIPPINES,43,0,F,36
49,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,27,INDONESIA,20,0,M,62
50,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,16,MYANMAR,47,0,F,36
51,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,CHINA,29,0,F,36
52,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,INDONESIA,20,0,F,46
53,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19,MALAYSIA,20,0,M,46
54,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,HONG KONG,30,0,M,36
55,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,189,MALAYSIA,20,0,F,46
56,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,105,JAPAN,44,0,F,25
57,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,23,"KOREA, REPUBLIC OF",57,0,M,36
58,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,57,UNITED ARAB EMIRATES,37,0,F,36
59,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,29,"TAIWAN, PROVINCE OF CHINA",46,0,F,36
